Data is Provisional and subject to change. Data presented is reported as of 2/26/2021
CountyName,AdministeredCount,AdministeredCountChange,AdministeredCountRollAvg,PersonsFullyVaccinated,Report_Date,PctVaccinatedPopulation
Illinois,1,1,0.000000,0,12/15/2020 12:00:00 AM,0
Illinois,1995,1994,285.000000,0,12/16/2020 12:00:00 AM,0
Illinois,13035,11040,1862.000000,0,12/17/2020 12:00:00 AM,0
Illinois,34047,21012,4864.000000,0,12/18/2020 12:00:00 AM,0
Illinois,47297,13250,6757.000000,0,12/19/2020 12:00:00 AM,0
Illinois,54815,7518,7831.000000,0,12/20/2020 12:00:00 AM,0
Illinois,67324,12509,9618.000000,0,12/21/2020 12:00:00 AM,0
Illinois,76968,9644,10995.000000,0,12/22/2020 12:00:00 AM,0
Illinois,87617,10649,12232.000000,0,12/23/2020 12:00:00 AM,0
Illinois,93869,6252,11548.000000,0,12/24/2020 12:00:00 AM,0
Illinois,95434,1565,8770.000000,0,12/25/2020 12:00:00 AM,0
Illinois,96886,1452,7084.000000,0,12/26/2020 12:00:00 AM,0
Illinois,98064,1178,6178.000000,0,12/27/2020 12:00:00 AM,0
Illinois,103832,5768,5215.000000,0,12/28/2020 12:00:00 AM,0
Illinois,122540,18708,6510.000000,0,12/29/2020 12:00:00 AM,0
Illinois,143623,21083,8001.000000,0,12/30/2020 12:00:00 AM,0
Illinois,158627,15004,9251.000000,0,12/31/2020 12:00:00 AM,0
Illinois,164800,6173,9909.000000,0,1/1/2021 12:00:00 AM,0
Illinois,168351,3551,10209.000000,0,1/2/2021 12:00:00 AM,0
Illinois,171256,2905,10456.000000,0,1/3/2021 12:00:00 AM,0
Illinois,184166,12910,11476.000000,96,1/4/2021 12:00:00 AM,0.0000075346830880898636536306
Illinois,206797,22631,12037.000000,372,1/5/2021 12:00:00 AM,0.0000291968969663482216578186
Illinois,227376,20579,11965.000000,2790,1/6/2021 12:00:00 AM,0.0002189767272476116624336398
Illinois,257470,30094,14120.000000,20651,1/7/2021 12:00:00 AM,0.0016208202130431643157408948
Illinois,299618,42148,19260.000000,42283,1/8/2021 12:00:00 AM,0.0033186354688927469256923275
Illinois,322217,22599,21981.000000,54213,1/9/2021 12:00:00 AM,0.0042549768151522476901487158
